,crc_str,as_id,gene_names,cancer_type,pearson_coefficient,p_value,adjusted_p_value,str_ase_pairs
899,chr10_71812721,12058,CDH23,coad,0.34153742361581174,3.3400191637496273e-17,2.2448639912801663e-14,chr10_71812721; id:12058;coad
7905,chr16_30927318,36199,FBXL19,coad,0.3414327758115205,3.419500269188761e-17,2.2483214269916106e-14,chr16_30927318; id:36199;coad
23698,chr5_75713015,72538,POC5,coad,0.3410391753936283,3.735456062805431e-17,2.4038057153095798e-14,chr5_75713015; id:72538;coad
11063,chr19_38738576,49690,CAPN12,coad,0.3404568667686484,4.2562367960971604e-17,2.6818725395408046e-14,chr19_38738576; id:49690;coad
10361,chr18_54269588,45580,POLI,coad,0.33919060348974744,5.647705445237309e-17,3.4860173712490287e-14,chr18_54269588; id:45580;coad
17988,chr2_27476497,53017,IFT172,coad,0.3387267935721294,6.26220611600922e-17,3.7740910797157234e-14,chr2_27476497; id:53017;coad
894,chr10_71694073,12058,CDH23,coad,0.33865432547682384,6.363982313291515e-17,3.7740910797157234e-14,chr10_71694073; id:12058;coad
25787,chr7_143387792,82114,ZYX,coad,0.33798976916642465,7.376495184428015e-17,4.290424939481256e-14,chr7_143387792; id:82114;coad
2344,chr11_66364199,17023,SLC29A2,coad,0.3376724125061161,7.914368191566744e-17,4.516416338753512e-14,chr11_66364199; id:17023;coad
27284,chr8_15540518,82769,TUSC3,coad,0.337043321742509,9.097097107706907e-17,5.0952167041221366e-14,chr8_15540518; id:82769;coad
10806,chr19_1914909,46562,SCAMP4,coad,0.335356546767547,1.3194781640503296e-16,7.25593037667313e-14,chr19_1914909; id:46562;coad
11587,chr19_7542546,47108,PNPLA6,coad,0.33468565412406553,1.528835062203977e-16,8.257074367207014e-14,chr19_7542546; id:47108;coad
11589,chr19_7553787,47108,PNPLA6,coad,0.33338083927605644,2.033783019534556e-16,1.0791538144881165e-13,chr19_7553787; id:47108;coad
5386,chr14_101785993,29313,PPP2R5C,coad,0.33168687516869544,2.939900567067803e-16,1.5070727567960288e-13,chr14_101785993; id:29313;coad
3349,chr12_131920143,25222,ULK1,coad,0.3310994559308108,3.338827799788813e-16,1.6830474467435443e-13,chr12_131920143; id:25222;coad
23524,chr5_67118662,72280,MAST4,coad,0.33018370725344165,4.0691654186027743e-16,2.017572263699031e-13,chr5_67118662; id:72280;coad
28073,chr8_98825554,84651,STK3,coad,0.32802625980198735,6.467935890463721e-16,3.155205177533472e-13,chr8_98825554; id:84651;coad
23452,chr5_64330425,72195,RNF180,coad,0.32698783012613314,8.073602434690467e-16,3.815407900581456e-13,chr5_64330425; id:72195;coad
16278,chr22_49787648,62750,BRD1,coad,0.32665640433526305,8.664137112694613e-16,4.0314896457453627e-13,chr22_49787648; id:62750;coad
9193,chr17_42574266,41075,PSMC3IP,coad,0.32551468574390896,1.1042070666964659e-15,4.994105080630355e-13,chr17_42574266; id:41075;coad
28731,chr9_135866515,88144,CAMSAP1,coad,0.32550568712641775,1.1063152269870517e-15,4.994105080630355e-13,chr9_135866515; id:88144;coad
5478,chr14_104957677,29583,AHNAK2,coad,0.3245839414702706,1.3445715911438662e-15,5.980377613845035e-13,chr14_104957677; id:29583;coad
28730,chr9_135865222,88144,CAMSAP1,coad,0.3241039302591875,1.4879235102000826e-15,6.522064719710362e-13,chr9_135865222; id:88144;coad
14893,chr20_34926993,59036,ACSS2,coad,0.3231535098481393,1.8174509927359844e-15,7.847649669407976e-13,chr20_34926993; id:59036;coad
1342,chr11_108716103,18623,DDX10,coad,0.32308904768234725,1.8422321921903334e-15,7.847649669407976e-13,chr11_108716103; id:18623;coad
16062,chr22_38145399,62208,PLA2G6,coad,0.3224871578609948,2.0902294736376247e-15,8.780415337523606e-13,chr22_38145399; id:62208;coad
867,chr10_69124260,11979,VPS26A,coad,0.32124854358089405,2.708204032816397e-15,1.1220497393497525e-12,chr10_69124260; id:11979;coad
2423,chr11_68933879,17351,IGHMBP2,coad,0.3169953683305158,6.531337479940996e-15,2.669463541632641e-12,chr11_68933879; id:17351;coad
1302,chr11_10419444,14350,AMPD3,coad,0.31632134347919877,7.499508389194216e-15,3.0243017497490542e-12,chr11_10419444; id:14350;coad
2283,chr11_64792004,16691,MAP4K2,coad,0.31489407900106875,1.00380110184511e-14,3.994732148066494e-12,chr11_64792004; id:16691;coad
27022,chr8_118951908,84998,TNFRSF11B,coad,0.3135864160087636,1.309350118188199e-14,5.143025236961309e-12,chr8_118951908; id:84998;coad
6883,chr15_52601195,30696,FAM214A,coad,0.313478294337038,1.3383589451410316e-14,5.1895726020244235e-12,chr15_52601195; id:30696;coad
685,chr10_43607160,11338,ZNF485,coad,0.3120128851502574,1.7995915635360216e-14,6.889702131537591e-12,chr10_43607160; id:11338;coad
15365,chr20_62337543,60060,LAMA5,coad,0.3118212517091064,1.8704176863839986e-14,7.071347865585505e-12,chr20_62337543; id:60060;coad
18545,chr2_73071669,53946,SFXN5,coad,0.30991614065519985,2.7412068232705476e-14,1.0235530909854038e-11,chr2_73071669; id:53946;coad
14869,chr20_34438603,59022,ITCH,coad,0.3082058719950064,3.854304465927049e-14,1.3969812420967878e-11,chr20_34438603; id:59022;coad
13076,chr1_21603938,984,RAP1GAP,coad,0.3081725941983463,3.8798619387049156e-14,1.3969812420967878e-11,chr1_21603938; id:984;coad
15367,chr20_62346803,60060,LAMA5,coad,0.3075790807000398,4.364619576836126e-14,1.5530343423695133e-11,chr20_62346803; id:60060;coad
2497,chr11_72238056,17588,INPPL1,coad,0.3071294072561225,4.7709827786322646e-14,1.6778880713922425e-11,chr11_72238056; id:17588;coad
14957,chr20_35849515,59253,PHF20,coad,0.30515577475874733,7.038980075676329e-14,2.447056924009547e-11,chr20_35849515; id:59253;coad
13751,chr1_32190078,1558,TXLNA,coad,0.3042432427782674,8.417292252876395e-14,2.89296595668462e-11,chr1_32190078; id:1558;coad
4057,chr12_53505973,22067,TARBP2,coad,0.3036548065572903,9.442958823800568e-14,3.209014490178069e-11,chr12_53505973; id:22067;coad
21885,chr4_7054270,68732,TADA2B,coad,0.3030601006199456,1.0603789635844255e-13,3.5634624170678836e-11,chr4_7054270; id:68732;coad
9099,chr17_40031109,40828,MED24,coad,0.302829153038882,1.1091341575051982e-13,3.686347537774145e-11,chr17_40031109; id:40828;coad
22449,chr5_134321920,73366,CDKL3,coad,0.3023579967005835,1.2155115036005316e-13,3.995994068086748e-11,chr5_134321920; id:73366;coad
3871,chr12_48778313,21464,ADCY6,coad,0.3014712217839272,1.4435264864879636e-13,4.6446232535987725e-11,chr12_48778313; id:21464;coad
3185,chr12_121810544,24901,SETD1B,coad,0.3003660718943923,1.7869814694019195e-13,5.689184688638006e-11,chr12_121810544; id:24901;coad
13814,chr1_34032650,1687,CSMD2,coad,0.2998672325166527,1.967120215013839e-13,6.197453219072246e-11,chr1_34032650; id:1687;coad
29724,chrX_124100556,90029,STAG2,coad,0.29977670063614464,2.0016685176703257e-13,6.241284981127732e-11,chrX_124100556; id:90029;coad
14871,chr20_34440223,59022,ITCH,coad,0.2995606529450842,2.0865357333742856e-13,6.38514725360327e-11,chr20_34440223; id:59022;coad
27462,chr8_27598161,83168,CLU,coad,0.29955194315280254,2.0900300152313562e-13,6.38514725360327e-11,chr8_27598161; id:83168;coad
20679,chr3_94043273,65678,ARL13B,coad,0.2991292504776033,2.266679681554531e-13,6.85557269686168e-11,chr3_94043273; id:65678;coad
12749,chr1_19164420,872,UBR4,coad,0.2986625676981049,2.478722576246262e-13,7.422669734511703e-11,chr1_19164420; id:872;coad
13127,chr1_220884517,9879,HLX,coad,0.2983884180414047,2.612222171842771e-13,7.745750939939668e-11,chr1_220884517; id:9879;coad
6347,chr14_91306990,28873,CCDC88C,coad,0.2981793499171227,2.7187397505898756e-13,7.983328520057358e-11,chr14_91306990; id:28873;coad
13805,chr1_33587269,1687,CSMD2,coad,0.2979923777064907,2.817596128461164e-13,8.194057202433453e-11,chr1_33587269; id:1687;coad
15902,chr22_29310421,61589,GAS2L1,coad,0.2976333965728054,3.0173660929094196e-13,8.691451188575752e-11,chr22_29310421; id:61589;coad
9437,chr17_50360091,42366,XYLT2,coad,0.2969795443536698,3.4174876266293567e-13,9.751123893151404e-11,chr17_50360091; id:42366;coad
23075,chr5_177311490,74751,MXD3,coad,0.29566082741962496,4.388915431278989e-13,1.2315107770992787e-10,chr5_177311490; id:74751;coad
23177,chr5_31405659,71625,DROSHA,coad,0.2956504696918698,4.3975256712422587e-13,1.2315107770992787e-10,chr5_31405659; id:71625;coad
29758,chrX_129913380,90053,UTP14A,coad,0.294859090055582,5.106696910959854e-13,1.4057330599326403e-10,chrX_129913380; id:90053;coad
23183,chr5_31437349,71625,DROSHA,coad,0.2948529637487619,5.112601639695502e-13,1.4057330599326403e-10,chr5_31437349; id:71625;coad
29722,chrX_124095391,90029,STAG2,coad,0.29425196582194774,5.725557264427086e-13,1.560085400563939e-10,chrX_124095391; id:90029;coad
13351,chr1_228401088,10206,TRIM11,coad,0.29399433163465477,6.009839816632488e-13,1.6229250469111572e-10,chr1_228401088; id:10206;coad
4816,chr13_113823420,26395,GAS6,coad,0.293527534531842,6.56054073029312e-13,1.7559606582983665e-10,chr13_113823420; id:26395;coad
10655,chr19_1455099,46498,APC2,coad,0.293337243013285,6.798948697424471e-13,1.8038088013473957e-10,chr19_1455099; id:46498;coad
30476,chrX_70387363,89372,KIF4A,coad,0.2931212867137071,7.079794606472357e-13,1.8619859815022297e-10,chrX_70387363; id:89372;coad
21374,chr4_184770300,71316,ACSL1,coad,0.29278793939382863,7.535741006262896e-13,1.9480212541403527e-10,chr4_184770300; id:71316;coad
4386,chr12_6937880,20016,ATN1,coad,0.29267368751399236,7.698531764205624e-13,1.958518330958588e-10,chr12_6937880; id:20016;coad
24230,chr6_13800395,75402,MCUR1,coad,0.29266860136405914,7.705858204135295e-13,1.958518330958588e-10,chr6_13800395; id:75402;coad
12111,chr1_153728589,7756,INTS3,coad,0.2922320689922914,8.360770209033998e-13,2.107262458101944e-10,chr1_153728589; id:7756;coad
11745,chr1_11059289,640,SRM,coad,0.29218529193241016,8.434099336566456e-13,2.1081763176401031e-10,chr1_11059289; id:640;coad
29718,chrX_124081360,90029,STAG2,coad,0.2919847169928963,8.755728891587976e-13,2.1706313141481828e-10,chrX_124081360; id:90029;coad
16258,chr22_46247117,62692,CDPF1,coad,0.29164187288843957,9.333509913579425e-13,2.2814783758048908e-10,chr22_46247117; id:62692;coad
3187,chr12_121814930,24901,SETD1B,coad,0.29163025912384233,9.35372189121529e-13,2.2814783758048908e-10,chr12_121814930; id:24901;coad
9199,chr17_42704548,41110,EZH1,coad,0.29088681616728707,1.0740726013339174e-12,2.598826066187546e-10,chr17_42704548; id:41110;coad
10696,chr19_16076004,48124,TPM4,coad,0.2890114568699802,1.5195995313753831e-12,3.618920301295154e-10,chr19_16076004; id:48124;coad
29609,chrX_110317981,89875,AMMECR1,coad,0.2889294181904946,1.5427513544407153e-12,3.6453527121140186e-10,chrX_110317981; id:89875;coad
21107,chr4_145110472,70753,ABCE1,coad,0.2888498108794297,1.5655468330081937e-12,3.6705398421963425e-10,chr4_145110472; id:70753;coad
6349,chr14_91315756,28873,CCDC88C,coad,0.28809153343089267,1.7998749947817222e-12,4.1817300690039856e-10,chr14_91315756; id:28873;coad
10641,chr19_1399147,46472,GAMT,coad,0.2880572892521851,1.8112304150752923e-12,4.1817300690039856e-10,chr19_1399147; id:46472;coad
29838,chrX_136510244,90209,HTATSF1,coad,0.28600340599031737,2.637038556779647e-12,6.042214481045487e-10,chrX_136510244; id:90209;coad
12837,chr1_200659167,9334,DDX59,coad,0.2859606693701789,2.657645019164104e-12,6.04364463192619e-10,chr1_200659167; id:9334;coad
8530,chr16_89855699,38152,SPIRE2,coad,0.2857286887302719,2.7722777486184596e-12,6.240207568168706e-10,chr16_89855699; id:38152;coad
27879,chr8_85107301,84313,LRRCC1,coad,0.285692629677676,2.790525200191629e-12,6.240207568168706e-10,chr8_85107301; id:84313;coad
13881,chr1_36179597,1756,MAP7D1,coad,0.28566227188432214,2.8059786056238848e-12,6.240207568168706e-10,chr1_36179597; id:1756;coad
28657,chr9_131643448,87968,RAPGEF1,coad,0.28491101318253564,3.216213406852816e-12,7.100319305858644e-10,chr9_131643448; id:87968;coad
3355,chr12_132017704,25233,EP400,coad,0.2848017367421682,3.2805749772907403e-12,7.189926825228872e-10,chr12_132017704; id:25233;coad
10468,chr18_75289352,45826,TSHZ1,coad,0.2841901942372492,3.664691064885653e-12,7.973998651616299e-10,chr18_75289352; id:45826;coad
16026,chr22_36871639,62065,NCF4,coad,0.28362043633752504,4.0619393172847434e-12,8.775239617948362e-10,chr22_36871639; id:62065;coad
15363,chr20_62322622,60060,LAMA5,coad,0.28319586474759606,4.3850421080689955e-12,9.40607081975509e-10,chr20_62322622; id:60060;coad
889,chr10_70206236,12045,PPA1,coad,0.28297614758372397,4.561981911558256e-12,9.716700205287286e-10,chr10_70206236; id:12045;coad
28704,chr9_133475582,88069,SLC2A6,coad,0.28271291346522703,4.7831725110463795e-12,1.0116577104657183e-09,chr9_133475582; id:88069;coad
28215,chr9_110481202,87186,SVEP1,coad,0.2824656596600695,5.0004658466325344e-12,1.0502714550791737e-09,chr9_110481202; id:87186;coad
28111,chr9_100327926,87077,TEX10,coad,0.282103658227695,5.336108911642114e-12,1.1130387174663154e-09,chr9_100327926; id:87077;coad
23518,chr5_66963999,72280,MAST4,coad,0.2815286584513621,5.9150120457007314e-12,1.2253393104261548e-09,chr5_66963999; id:72280;coad
21396,chr4_1983690,68541,NELFA,coad,0.28042643972134706,7.201314288927524e-12,1.4816581678136935e-09,chr4_1983690; id:68541;coad
14245,chr1_54036723,3108,TMEM59,coad,0.2802691608434682,7.405848951062353e-12,1.5134452805735195e-09,chr1_54036723; id:3108;coad
7707,chr16_2292074,33265,ABCA3,coad,0.27888112941702525,9.475092984355727e-12,1.9104945820789264e-09,chr16_2292074; id:33265;coad
2608,chr11_76795629,17902,TSKU,coad,0.27854988718177864,1.0046889013267388e-11,2.010609782338282e-09,chr11_76795629; id:17902;coad
23696,chr5_75707727,72538,POC5,coad,0.2776020420401145,1.187579671957394e-11,2.3476043907419206e-09,chr5_75707727; id:72538;coad
987,chr10_75030769,12265,KAT6B,coad,0.27718295642347457,1.278460804773611e-11,2.5001460723681163e-09,chr10_75030769; id:12265;coad
11193,chr19_43776454,50238,KCNN4,coad,0.27717043393989604,1.2812783640835115e-11,2.5001460723681163e-09,chr19_43776454; id:50238;coad
29836,chrX_136504303,90209,HTATSF1,coad,0.2765805430605874,1.4211038277193e-11,2.7552105941903994e-09,chrX_136504303; id:90209;coad
19585,chr3_158537330,67420,RSRC1,coad,0.27619525385710414,1.520365421781529e-11,2.9288823045721236e-09,chr3_158537330; id:67420;coad
7667,chr16_2037930,33186,SLC9A3R2,coad,0.2759594241779975,1.5844297151740673e-11,3.0329795402177003e-09,chr16_2037930; id:33186;coad
6259,chr14_77277486,28581,POMT2,coad,0.2752825738738052,1.7832969445881766e-11,3.3921896911364404e-09,chr14_77277486; id:28581;coad
1112,chr10_89751517,12497,KIF20B,coad,0.27521185170208845,1.805431371800382e-11,3.4128294900064095e-09,chr10_89751517; id:12497;coad
2346,chr11_66368477,17023,SLC29A2,coad,0.27508137744414446,1.846973088191997e-11,3.469670872817823e-09,chr11_66368477; id:17023;coad
13128,chr1_220884603,9879,HLX,coad,0.27455202292557096,2.0253014372385644e-11,3.757990304863827e-09,chr1_220884603; id:9879;coad
1358,chr11_111297313,18663,COLCA2,coad,0.27292440508042143,2.685510718392553e-11,4.892968173360407e-09,chr11_111297313; id:18663;coad
11525,chr19_56555064,52182,ZFP28,coad,0.27246877016557225,2.9052522897696103e-11,5.261638054136638e-09,chr19_56555064; id:52182;coad
22118,chr4_88383414,69891,HERC6,coad,0.27207616820004277,3.108596380030036e-11,5.596398661548122e-09,chr4_88383414; id:69891;coad
17207,chr2_200384068,56732,SPATS2L,coad,0.2715519777547635,3.401876168596395e-11,6.088150575100471e-09,chr2_200384068; id:56732;coad
5480,chr14_105147899,29601,JAG2,coad,0.27129219999817,3.5570603608405414e-11,6.328428859624834e-09,chr14_105147899; id:29601;coad
19581,chr3_158354835,67420,RSRC1,coad,0.2711396628379008,3.6513791976422616e-11,6.458243498987731e-09,chr3_158354835; id:67420;coad
13891,chr1_36418930,1775,OSCP1,coad,0.27073951265274543,3.9105572437115896e-11,6.876442083491688e-09,chr1_36418930; id:1775;coad
1110,chr10_89738578,12497,KIF20B,coad,0.27057271256859083,4.023819387892996e-11,7.034706207330848e-09,chr10_89738578; id:12497;coad
16008,chr22_36254863,62019,APOL1,coad,0.27031456265788206,4.205449395380558e-11,7.309989480648562e-09,chr22_36254863; id:62019;coad
14891,chr20_34926072,59036,ACSS2,coad,0.2702182534104062,4.275239988070325e-11,7.38883619652497e-09,chr20_34926072; id:59036;coad
29373,chr9_85966553,86739,NAA35,coad,0.2700034801395912,4.434970959943292e-11,7.621346402470731e-09,chr9_85966553; id:86739;coad
9752,chr17_66129714,43098,CEP112,coad,0.2699070008865725,4.508606149482081e-11,7.704112598366414e-09,chr17_66129714; id:43098;coad
28724,chr9_135811619,88144,CAMSAP1,coad,0.2698157091912543,4.579379846918795e-11,7.781086711801065e-09,chr9_135811619; id:88144;coad
8151,chr16_581167,32898,PIGQ,coad,0.26907412538490055,5.195900351538335e-11,8.69811988789799e-09,chr16_581167; id:32898;coad
10973,chr19_35015771,49008,GRAMD1A,coad,0.2690634345332992,5.205355264372743e-11,8.69811988789799e-09,chr19_35015771; id:49008;coad
12735,chr1_19138036,872,UBR4,coad,0.26889347219989024,5.357942902751318e-11,8.903900169984265e-09,chr1_19138036; id:872;coad
28728,chr9_135823954,88144,CAMSAP1,coad,0.26879116065961334,5.451890445922846e-11,9.010515111308004e-09,chr9_135823954; id:88144;coad
24034,chr6_118652680,77351,CEP85L,coad,0.2682630707818177,5.962952348892515e-11,9.801602923492073e-09,chr6_118652680; id:77351;coad
1100,chr10_89716410,12497,KIF20B,coad,0.2681541027940562,6.074079223316185e-11,9.930298708605298e-09,chr10_89716410; id:12497;coad
25783,chr7_143381282,82114,ZYX,coad,0.2678939312086677,6.347638972087194e-11,1.0221791757876514e-08,chr7_143381282; id:82114;coad
4137,chr12_56283881,22418,CS,coad,0.2678882291396729,6.353767070526648e-11,1.0221791757876514e-08,chr12_56283881; id:22418;coad
9351,chr17_47814597,42092,OSBPL7,coad,0.2678512231729365,6.393678431650852e-11,1.0231576939961905e-08,chr17_47814597; id:42092;coad
11173,chr19_42368413,50157,MEGF8,coad,0.2675829534384528,6.690413504870406e-11,1.0650081918673969e-08,chr19_42368413; id:50157;coad
3881,chr12_49494704,21577,SPATS2,coad,0.26615188749351704,8.51496125329492e-11,1.341328141176588e-08,chr12_49494704; id:21577;coad
29456,chr9_94292954,86925,ZNF169,coad,0.26542457573425693,9.619909055717628e-11,1.5075344527988582e-08,chr9_94292954; id:86925;coad
29711,chrX_123892814,90026,XIAP,coad,0.2653827214694351,9.687581567576431e-11,1.5103139407801502e-08,chrX_123892814; id:90026;coad
23510,chr5_66792114,72280,MAST4,coad,0.26500321479092004,1.0322758539418045e-10,1.6010863180753783e-08,chr5_66792114; id:72280;coad
26328,chr7_4754446,78641,FOXK1,coad,0.26496445188405515,1.0389876348266183e-10,1.603274541598524e-08,chr7_4754446; id:78641;coad
11171,chr19_42355744,50157,MEGF8,coad,0.2645351068445184,1.116233508424946e-10,1.7137300742290606e-08,chr19_42355744; id:50157;coad
3345,chr12_131909849,25222,ULK1,coad,0.26399857408535427,1.2206653958587114e-10,1.8645972170579156e-08,chr12_131909849; id:25222;coad
5837,chr14_50429215,27482,MAP4K5,coad,0.2638920933143688,1.2424954393578983e-10,1.8884057569537503e-08,chr14_50429215; id:27482;coad
10856,chr19_2115164,46577,AP3D1,coad,0.26378555303194295,1.2647184148669043e-10,1.912570422882476e-08,chr19_2115164; id:46577;coad
15940,chr22_31134311,61818,INPP5J,coad,0.26375231781003206,1.2717298148074524e-10,1.913605385514995e-08,chr22_31134311; id:61818;coad
10860,chr19_2121884,46577,AP3D1,coad,0.26354423084241807,1.31649761839455e-10,1.9711619043734242e-08,chr19_2121884; id:46577;coad
6141,chr14_73266789,28276,PAPLN,coad,0.263358573753408,1.3577339151777408e-10,2.0197411107090558e-08,chr14_73266789; id:28276;coad
21462,chr4_2646673,68579,FAM193A,coad,0.2633383615758889,1.3622985173901384e-10,2.0197411107090558e-08,chr4_2646673; id:68579;coad
9435,chr17_50358193,42366,XYLT2,coad,0.263040226184956,1.4313907767093427e-10,2.111825075198735e-08,chr17_50358193; id:42366;coad
10564,chr19_1095322,46382,POLR2E,coad,0.2629647497206981,1.449417059600733e-10,2.128039755709911e-08,chr19_1095322; id:46382;coad
891,chr10_70230376,12045,PPA1,coad,0.26284780408291974,1.4777853967056365e-10,2.1592086629643467e-08,chr10_70230376; id:12045;coad
26536,chr7_74536200,80080,GTF2IRD1,coad,0.2625588135769453,1.5502288768928362e-10,2.254166941424223e-08,chr7_74536200; id:80080;coad
22578,chr5_140657486,73709,IK,coad,0.26241847026075144,1.5866470975898996e-10,2.2960833237610774e-08,chr5_140657486; id:73709;coad
8532,chr16_89863797,38152,SPIRE2,coad,0.2618481741108557,1.7434056077552055e-10,2.5109191717407708e-08,chr16_89863797; id:38152;coad
