,gene_names,cancer_type,corr,p_value,crc_str,as_id,adjusted_p_value
21,LZTS2,read,-0.04368667976614964,0.2965033414634036,chr10_101003658,12860.0,0.4755714154649144
22,PDZD7,coad,0.07927837364079407,0.057885838586273476,chr10_101021644,12862.0,0.15781952741137975
23,SFXN3,coad,0.07003485977874122,0.0939636931443213,chr10_101037496,12871.0,0.22015320162694776
24,SFXN3,read,0.027902704389031432,0.5050340754530913,chr10_101037496,12871.0,0.6649176085495249
25,DPCD,coad,0.03850045108724951,0.3576093363088996,chr10_101605034,12877.0,0.5346856876929879
26,DPCD,read,-0.09504628433300956,0.02288509019338485,chr10_101605034,12877.0,0.08251346408614872
27,DPCD,coad,0.06472859735367055,0.12170047819919019,chr10_101609304,12877.0,0.26249589256849265
28,DPCD,read,0.011080354608814407,0.7912682994463908,chr10_101609304,12877.0,0.8689876539649523
29,LDB1,coad,0.08383912302385635,0.04485170138519254,chr10_102110036,12934.0,0.1321819045561242
30,LDB1,read,-0.06032930826641446,0.14922106059860168,chr10_102110036,12934.0,0.3014919831558375
31,PPRC1,coad,0.09572429625653701,0.021925652302503793,chr10_102137891,12938.0,0.08004730243245317
32,PPRC1,read,-0.09802006889476299,0.018931474659797498,chr10_102137891,12938.0,0.07223623251773753
33,PPRC1,coad,0.08999486492782663,0.03124701991352889,chr10_102138895,12938.0,0.1025545206931149
34,PPRC1,read,-0.09359138672106834,0.02506734577837081,chr10_102138895,12938.0,0.08785636779378753
35,NOLC1,coad,-0.009455431116503312,0.8213185496294018,chr10_102157286,12939.0,0.8882963438987125
36,NOLC1,read,-0.05791414859186326,0.1662206761510499,chr10_102157286,12939.0,0.3250803842655384
37,NOLC1,coad,-0.0461656610077041,0.2699134640655736,chr10_102157513,12939.0,0.44774109886167884
38,NOLC1,read,0.004339675605217979,0.9174437141304719,chr10_102157513,12939.0,0.9508875378992886
39,NOLC1,coad,0.012295806857181572,0.7689884916872424,chr10_102159243,12939.0,0.8538563382457319
40,NOLC1,read,-0.03184494420001788,0.44676809618860613,chr10_102159243,12939.0,0.6165876039583327
41,NOLC1,coad,0.047598263792529426,0.2553141506533201,chr10_102159354,12939.0,0.43128776402445634
42,NOLC1,read,-0.08447198822458715,0.04325497713076364,chr10_102159354,12939.0,0.12898623344971227
43,NOLC1,coad,0.05533508652100287,0.18593509212234008,chr10_102161928,12939.0,0.3513559664798851
44,NOLC1,read,-0.09481292375658207,0.02322362437142489,chr10_102161928,12939.0,0.08331147344202339
45,NFKB2,coad,0.010574978492747984,0.8005835337628218,chr10_102396392,12948.0,0.8750959584415378
46,NFKB2,read,-0.007071532170177784,0.8658700344407477,chr10_102396392,12948.0,0.9170131614528391
47,ACTR1A,coad,0.007743610496073968,0.853260375352752,chr10_102490626,12957.0,0.9090022435918061
48,ACTR1A,read,-0.014269692829845592,0.7332157112240221,chr10_102490626,12957.0,0.8303665219384091
49,SUFU,coad,0.022937168063246898,0.5837401695765398,chr10_102618932,12961.0,0.724800899119886
50,SUFU,read,-0.03536335801932281,0.39815367711262617,chr10_102618932,12961.0,0.572444231447258
51,SUFU,coad,0.08178671057218996,0.05037490646990886,chr10_102627292,12961.0,0.14332340205400354
52,SUFU,read,0.016567624874422825,0.6922914513638396,chr10_102627292,12961.0,0.8027902995743128
53,SFXN2,coad,-0.03478665992963358,0.40589678599528567,chr10_102729302,12967.0,0.5798747499211973
54,SFXN2,read,0.017877085707368446,0.6693567948987533,chr10_102729302,12967.0,0.7872893292454252
55,WBP1L,coad,0.09207982462771928,0.027522642617352436,chr10_102743998,12980.0,0.09402861309588968
56,WBP1L,read,0.05128691458384986,0.22027309184429245,chr10_102743998,12980.0,0.393021329423829
57,WBP1L,coad,0.08820660348579921,0.03477716031268219,chr10_102776297,12980.0,0.11059196250264317
58,WBP1L,read,0.013102747915881932,0.7543000447582804,chr10_102776297,12980.0,0.8443522135813162
59,WBP1L,coad,0.061843032765501765,0.1392618611668597,chr10_102809912,12980.0,0.2875785849951878
60,WBP1L,read,-0.03893415288474478,0.3522154139931809,chr10_102809912,12980.0,0.5299918835359084
61,WBP1L,coad,0.014012525881553637,0.737845618317675,chr10_102812684,12980.0,0.8335279482822822
62,WBP1L,read,0.06291695564517977,0.13251152099360863,chr10_102812684,12980.0,0.27855224248297367
63,WBP1L,coad,0.05371499550817286,0.19917079878496138,chr10_102813062,12980.0,0.36827194370608646
64,WBP1L,read,0.06340924124125065,0.1295029306232607,chr10_102813062,12980.0,0.27417775270029254
65,CNNM2,coad,0.008907876872034676,0.8315062358782774,chr10_102920138,12983.0,0.8949701541590689
66,CNNM2,read,-0.04527961531556995,0.2792235226892669,chr10_102920138,12983.0,0.45742147145062667
67,CNNM2,coad,0.11640979736198288,0.005271521939273983,chr10_103054297,12983.0,0.02865550181629379
68,CNNM2,read,-0.12952009770603762,0.0018918711942342943,chr10_103054297,12983.0,0.013752111670969229
69,CNNM2,coad,-0.038359725572166097,0.35937061626196076,chr10_103056748,12983.0,0.5365697119439162
70,CNNM2,read,-0.011037352975073024,0.7920597817437055,chr10_103056748,12983.0,0.8693964070264576
71,CNNM2,coad,0.1155215501260201,0.005631095075561951,chr10_103071611,12983.0,0.030089620974731782
72,CNNM2,read,-0.15583727789923596,0.0001803216437660242,chr10_103071611,12983.0,0.0023304425770523315
73,CNNM2,coad,0.02484130555940228,0.5528935504052599,chr10_103071901,12983.0,0.7025659340171375
74,CNNM2,read,-0.09503208680872109,0.022905563585433178,chr10_103071901,12983.0,0.08254740406561108
75,NT5C2,coad,0.1090016952799885,0.009019711732372024,chr10_103095985,12992.0,0.04225901978315041
76,NT5C2,read,-0.023857375690851102,0.5687332938220115,chr10_103095985,12992.0,0.7136417179624382
77,PCGF6,coad,-0.02809813662773581,0.50205449896936,chr10_103333907,12995.0,0.6627607787853759
78,PCGF6,read,0.08681436818750074,0.03775566629446614,chr10_103333907,12995.0,0.11709512378506047
79,TAF5,coad,0.07435452206188728,0.07533308897994462,chr10_103379795,12996.0,0.18880070839550595
80,TAF5,read,0.0006701318204147936,0.9872294466867291,chr10_103379795,12996.0,0.9930379379475891
81,SH3PXD2A,coad,0.056405320874078985,0.17755453575155383,chr10_103603092,13024.0,0.34069475323194304
82,SH3PXD2A,read,-0.04393413220729518,0.2937732136550905,chr10_103603092,13024.0,0.47273550581737633
83,SH3PXD2A,coad,0.10530802958134756,0.011658543452310105,chr10_103617328,13024.0,0.0511167801770107
84,SH3PXD2A,read,-0.047931817643554794,0.25199507215941147,chr10_103617328,13024.0,0.42734951626034257
85,SH3PXD2A,coad,0.11146711684650129,0.0075685190558802485,chr10_103668579,13024.0,0.037199632514693604
86,SH3PXD2A,read,-0.02077487729641326,0.6197077762062799,chr10_103668579,13024.0,0.7519104227133623
87,SH3PXD2A,coad,0.111840179376138,0.007368140363896776,chr10_103668697,13024.0,0.036557829885952194
88,SH3PXD2A,read,-0.03820511967483698,0.36131187436670253,chr10_103668697,13024.0,0.5383343163818705
89,SH3PXD2A,coad,0.08532958440745636,0.04116792052404611,chr10_103767179,13024.0,0.12447104510075678
90,SH3PXD2A,read,-0.07613060961186771,0.0686016527294494,chr10_103767179,13024.0,0.17678323181570846
91,SLK,coad,0.1327677663852959,0.0014460928849543925,chr10_103967789,13030.0,0.011195969135743888
92,SLK,read,-0.1087985834590003,0.009149656318687027,chr10_103967789,13030.0,0.04268695729615292
93,SLK,coad,0.03112544602981583,0.457108811440346,chr10_103992958,13030.0,0.6252454636350279
94,SLK,read,0.003802162169236833,0.9276391711926499,chr10_103992958,13030.0,0.9574988699922335
95,SLK,coad,0.078155471302674,0.061537241231722814,chr10_104001376,13030.0,0.16454391399300072
96,SLK,read,-0.062160200026359844,0.13724133151482315,chr10_104001376,13030.0,0.2846309603701574
97,SLK,coad,-0.016248523030637382,0.6979242905809864,chr10_104008391,13030.0,0.8062154376646327
98,SLK,read,0.030934311679478986,0.4598781890011153,chr10_104008391,13030.0,0.6274831798093835
99,SLK,coad,0.08515553345547046,0.0415844711235536,chr10_104018250,13030.0,0.1253749546478054
100,SLK,read,-0.056920488493624244,0.17362194537602313,chr10_104018250,13030.0,0.3351422188837317
101,COL17A1,coad,-0.01663495005303045,0.6911051687568186,chr10_104039197,13031.0,0.8020930734566905
102,COL17A1,read,-0.033357976952319304,0.42546149735870853,chr10_104039197,13031.0,0.597954111643103
103,COL17A1,coad,-0.004322454350929864,0.9177701628960158,chr10_104039329,13031.0,0.9510607949980094
104,COL17A1,read,-0.1178516104590462,0.0047317122125451715,chr10_104039329,13031.0,0.026458214664757736
105,COL17A1,coad,0.06070359663425487,0.14670946010251995,chr10_104039534,13031.0,0.297565338807027
106,COL17A1,read,-0.06062772207933823,0.14721598009768438,chr10_104039534,13031.0,0.29832920647816114
107,COL17A1,coad,0.0644656743716337,0.12322538152734575,chr10_104047814,13031.0,0.2645964877134273
108,COL17A1,read,-0.06287674413610593,0.1327596380681474,chr10_104047814,13031.0,0.2789166949251564
109,COL17A1,coad,0.03614435533875428,0.38781018026346536,chr10_104054138,13031.0,0.5627268481352123
110,COL17A1,read,0.019424898130370516,0.6426403532955787,chr10_104054138,13031.0,0.7683374091824672
111,COL17A1,coad,0.030547289327706416,0.4655144011703599,chr10_104056017,13031.0,0.632034252451234
112,COL17A1,read,-0.017204482370698944,0.6811004003355567,chr10_104056017,13031.0,0.7951498260448033
113,COL17A1,coad,-0.02578753898163251,0.537867067233323,chr10_104057140,13031.0,0.6911795551473667
114,COL17A1,read,-0.1820952548489901,1.1540400854620105e-05,chr10_104057140,13031.0,0.00027919540284751103
115,COL17A1,coad,0.0670724862545388,0.1087487518735401,chr10_104062260,13031.0,0.24308065576764498
116,COL17A1,read,-0.08207746836592757,0.04955947938437261,chr10_104062260,13031.0,0.14174637838101742
117,COL17A1,coad,0.008323375173064348,0.8424125634895936,chr10_104077369,13031.0,0.9015112583433804
118,COL17A1,read,0.013311559574534799,0.7505132780228455,chr10_104077369,13031.0,0.8419445055983398
119,WDR37,coad,0.06759574988969409,0.10601142167177671,chr10_1072319,10614.0,0.23876763354124647
120,WDR37,read,-0.0674521416856703,0.10675719057391192,chr10_1072319,10614.0,0.23985017816026238
121,WDR37,coad,0.08741907123905229,0.036436395089062205,chr10_1077866,10614.0,0.11439485623298844
122,WDR37,read,-0.08831320068408532,0.034557595915319525,chr10_1077866,10614.0,0.11015577724811447
123,WDR37,coad,0.09245861613333951,0.026888690472663276,chr10_1105070,10614.0,0.09254495796298011
124,WDR37,read,-0.09564897703371683,0.022030482339249775,chr10_1105070,10614.0,0.08028540280224156
125,WDR37,coad,0.04137415906965205,0.322833817393572,chr10_1124150,10614.0,0.5011414155099406
126,WDR37,read,-0.04138291138011359,0.32273138023375003,chr10_1124150,10614.0,0.5010719980493574
127,XPNPEP1,coad,0.056562983350984766,0.17634403951588679,chr10_109891841,13072.0,0.3390708868655365
128,XPNPEP1,read,-0.06567763747521596,0.11631838858171983,chr10_109891841,13072.0,0.25449574518453894
129,CELF2,coad,0.013154273544357055,0.7533650838933807,chr10_11005611,10738.0,0.8438118561774213
130,CELF2,read,-0.07575413429142765,0.06998573851178547,chr10_11005611,10738.0,0.1792045129170761
131,CELF2,coad,0.20837533121796523,4.843292654837191e-07,chr10_11288508,10738.0,2.1775852246612875e-05
132,CELF2,read,0.04328947472907176,0.3009209723408334,chr10_11288508,10738.0,0.4800520844428365
133,CELF2,coad,-0.08044386280314388,0.054287769516896685,chr10_11325720,10738.0,0.15112896970882447
134,CELF2,read,-0.0017658130338516495,0.9663578082505537,chr10_11325720,10738.0,0.980013791952987
135,CELF2,coad,0.0457962171947306,0.27376922933279035,chr10_11325818,10738.0,0.4516490257617642
136,CELF2,read,-0.08507325864789367,0.04178261235212941,chr10_11325818,10738.0,0.12586128538353444
137,ADD3,coad,0.10287018105319339,0.013754638633471185,chr10_110116231,13075.0,0.05768909549924821
138,ADD3,read,-0.09404115563830373,0.024374290661677865,chr10_110116231,13075.0,0.0861453857480444
139,ADD3,coad,0.05653059460030934,0.17659221079612913,chr10_110117230,13075.0,0.33933984687871
140,ADD3,read,-0.03794006233594992,0.36465520595413237,chr10_110117230,13075.0,0.5415049999281072
141,ADD3,coad,0.038940373344235,0.3521384260775259,chr10_110117329,13075.0,0.5299294572093184
142,ADD3,read,-0.045307775916344856,0.2789243165800832,chr10_110117329,13075.0,0.4570256063217236
143,MXI1,coad,-0.008934126748830035,0.8310171764182713,chr10_110244805,13078.0,0.8947286124761394
144,MXI1,read,-0.06665249006610176,0.11098595665758819,chr10_110244805,13078.0,0.24640252473084243
145,SMNDC1,coad,0.12348638578272206,0.0030681122251270997,chr10_110295459,13083.0,0.01930571990893144
146,SMNDC1,read,-0.0430995644900695,0.30304848887548874,chr10_110295459,13083.0,0.48213213892293316
147,SMNDC1,coad,0.15421677217409652,0.00021082341587375415,chr10_110297602,13083.0,0.002623560757605276
148,SMNDC1,read,-0.013559132334123808,0.746031346721236,chr10_110297602,13083.0,0.8392121423859482
149,SMNDC1,coad,0.1558294231963358,0.00018045895574943428,chr10_110298629,13083.0,0.0023312079900231985
150,SMNDC1,read,-0.06635301164399425,0.11260321279010743,chr10_110298629,13083.0,0.24901157886191608
151,PDCD4,coad,0.09730684260798307,0.019821002109604115,chr10_110881252,13086.0,0.0746105405346263
152,PDCD4,read,-0.024996984388813055,0.5504072749216969,chr10_110881252,13086.0,0.7005695495848365
153,PDCD4,coad,0.03489391993670071,0.40444989512810525,chr10_110889512,13086.0,0.5784006412156307
154,PDCD4,read,0.01941410938389175,0.6428250396421236,chr10_110889512,13086.0,0.7684266263989401
155,PDCD4,coad,0.07283295831738625,0.08151896364247177,chr10_110898008,13086.0,0.19969370153297383
156,PDCD4,read,-0.025957954640538915,0.5351827069882189,chr10_110898008,13086.0,0.6890385857879043
157,SHOC2,coad,-0.020330022074626385,0.6272254470806017,chr10_110965076,13100.0,0.7571070238307749
158,SHOC2,read,0.0028641867048992535,0.9454579409377452,chr10_110965076,13100.0,0.9676852870687019
159,SHOC2,coad,0.10068052143572995,0.01591331526978842,chr10_111000400,13100.0,0.06398331502549004
160,SHOC2,read,-0.10874976419182274,0.009181136727826946,chr10_111000400,13100.0,0.04280706791699916
161,SHOC2,coad,0.046729723603674896,0.26409848531286256,chr10_111007472,13100.0,0.44076454497597267
162,SHOC2,read,-0.053939641791059,0.19729555839108098,chr10_111007472,13100.0,0.3657060474486112
163,GPAM,coad,0.06894155553166346,0.09922117744945588,chr10_112154693,13101.0,0.22847273672009688
164,GPAM,read,0.014215058080245695,0.734198525485247,chr10_112154693,13101.0,0.8309486230888075
165,GPAM,coad,0.08282149396542174,0.047523019950996746,chr10_112161702,13101.0,0.13756930452991922
166,GPAM,read,-0.019263984933543594,0.6453972145222113,chr10_112161702,13101.0,0.7701356862530346
167,ACSL5,coad,0.002163785061869508,0.9587817744016431,chr10_112394905,13108.0,0.9753124946499473
168,ACSL5,read,-0.009551248667770195,0.8195388217572634,chr10_112394905,13108.0,0.8871911434681907
169,ACSL5,coad,0.08235737221168961,0.04878495301501475,chr10_112404669,13108.0,0.14024399946403834
170,ACSL5,read,-0.08459991444317447,0.04293810739718711,chr10_112404669,13108.0,0.12829005786985828
171,ACSL5,coad,0.07121444565778279,0.08854368016203563,chr10_112408585,13108.0,0.2114368123146226
172,ACSL5,read,-0.08031041767834672,0.05469006470278856,chr10_112408585,13108.0,0.15188066898949298
173,ACSL5,coad,0.10930039940399179,0.008831595646234303,chr10_112409467,13108.0,0.04162590091927358
174,ACSL5,read,-0.12131484301786756,0.003633164620850048,chr10_112409467,13108.0,0.021758173839690538
175,ACSL5,coad,0.030216034472919925,0.47036872225870197,chr10_112410433,13108.0,0.6360929441162931
176,ACSL5,read,-0.04412027983243511,0.29173057638564687,chr10_112410433,13108.0,0.47100323121604176
177,ACSL5,coad,0.027022537157448696,0.5185674925950766,chr10_112411612,13108.0,0.6758403095068792
178,ACSL5,read,-0.02549223903616514,0.542534492269586,chr10_112411612,13108.0,0.6947109535211846
179,VTI1A,coad,0.07032422493200607,0.09261014306093374,chr10_112668112,13115.0,0.21806003714339584
180,VTI1A,read,-0.09862503812122345,0.018204458771612912,chr10_112668112,13115.0,0.07017119588995892
181,VTI1A,coad,0.08104514661789039,0.05250551308477044,chr10_112668912,13115.0,0.1476405375937399
182,VTI1A,read,-0.1093493778966905,0.008801086119348128,chr10_112668912,13115.0,0.04153865796396334
183,VTI1A,coad,0.058145491976287086,0.16453198234682506,chr10_112815257,13115.0,0.3228655801303366
184,VTI1A,read,-0.06603499450549391,0.11434080729207234,chr10_112815257,13115.0,0.25156831460664214
185,VTI1A,coad,0.03490655795307276,0.4042796166736188,chr10_112815489,13115.0,0.578311627991098
186,VTI1A,read,-0.04167173457638415,0.3193628525299409,chr10_112815489,13115.0,0.49771656919131635
197,CASP7,coad,0.16824654152017307,5.177188650486721e-05,chr10_113726162,13166.0,0.0009005270620333254
198,CASP7,read,-0.12110186759908408,0.003693379604547344,chr10_113726162,13166.0,0.02200402209422399
199,PLEKHS1,coad,0.10215142423511564,0.014432927450979663,chr10_113765460,13172.0,0.05985468172669706
200,PLEKHS1,read,-0.05014893671406644,0.2306956036905264,chr10_113765460,13172.0,0.4045884666966436
201,PLEKHS1,coad,0.0518595025870386,0.21515817817094207,chr10_113774758,13172.0,0.3870876371649575
202,PLEKHS1,read,-0.026904300344332478,0.5203996338111658,chr10_113774758,13172.0,0.6771568961251164
203,VWA2,coad,0.0511634002343237,0.22138775663473145,chr10_114248676,13197.0,0.3943502438289542
204,VWA2,read,-0.046081385276222235,0.27078973494215725,chr10_114248676,13197.0,0.44854312108353783
205,VWA2,coad,0.05780987519153671,0.1669860576100516,chr10_114278700,13197.0,0.3260432808299856
206,VWA2,read,-0.07203395197805944,0.08492831010637059,chr10_114278700,13197.0,0.2052497182802224
207,AFAP1L2,coad,0.2219843601112232,7.906007489161831e-08,chr10_114297151,13199.0,4.85650097904192e-06
208,AFAP1L2,read,0.03377638784511773,0.4196755630407534,chr10_114297151,13199.0,0.5932755531543011
209,AFAP1L2,coad,0.11129858556812111,0.007660627576439909,chr10_114300638,13199.0,0.03752262111026038
210,AFAP1L2,read,-0.043359442325802584,0.30013965070715937,chr10_114300638,13199.0,0.4793948495110768
211,AFAP1L2,coad,0.14618464281975074,0.00044723536596552447,chr10_114302340,13199.0,0.004629599381253387
212,AFAP1L2,read,-0.03803888303937115,0.3634064719300186,chr10_114302340,13199.0,0.5403090703962385
213,ABLIM1,coad,0.013536570706934183,0.7464394387965696,chr10_114436385,13201.0,0.8395510306232449
214,ABLIM1,read,-0.05408220646407835,0.19611220103077717,chr10_114436385,13201.0,0.3640452023668597
215,ABLIM1,coad,0.025633187782371687,0.5403041875552457,chr10_114437741,13201.0,0.693398853470307
216,ABLIM1,read,0.05152683949092807,0.21811935829032844,chr10_114437741,13201.0,0.3904152120870235
217,ABLIM1,coad,0.013615330066852359,0.7450151577917095,chr10_114468274,13201.0,0.8386187516309638
218,ABLIM1,read,-0.14320390917938208,0.0005856327646367581,chr10_114468274,13201.0,0.005709823826082879
219,USP6NL,coad,0.05408137600810053,0.1961190791741879,chr10_11462408,10750.0,0.3640452023668597
220,USP6NL,read,-0.001993547934774489,0.9620220957429728,chr10_11462408,10747.0,0.9774097347641816
221,USP6NL,coad,0.1261900892508478,0.0024766964103323835,chr10_11485084,10750.0,0.016641749861369116
222,USP6NL,read,0.07770234715910275,0.06306358701774539,chr10_11485084,10747.0,0.1672619337977764
223,FAM204A,coad,0.05695448572080815,0.17336472530387828,chr10_118311332,13246.0,0.3349272315551661
224,FAM204A,read,0.012229119507440015,0.7702061656011497,chr10_118311332,13246.0,0.8546903641919757
225,FAM204A,coad,0.04433200584295302,0.28941886036629993,chr10_118335648,13246.0,0.4683602914882653
226,FAM204A,read,0.025797148997559315,0.5377155126088935,chr10_118335648,13246.0,0.6911037934142374
227,FAM204A,coad,0.11442402737996009,0.006105783053322681,chr10_118336139,13246.0,0.03187863715877848
228,FAM204A,read,-0.06529426337700836,0.11846964134950876,chr10_118336139,13246.0,0.2576522672724
229,EIF3A,coad,-0.00025154515512426347,0.995206184444924,chr10_119033873,13251.0,0.9971768897606565
230,EIF3A,read,-0.06572990948707264,0.11602745777864217,chr10_119033873,13251.0,0.2540794846301027
231,EIF3A,coad,-0.009698609628766596,0.8168035312175589,chr10_119037061,13251.0,0.8851126178210165
232,EIF3A,read,0.02738227898192396,0.5130136208046582,chr10_119037061,13251.0,0.6713338567581653
233,EIF3A,coad,-0.03601950422502225,0.3894526458333233,chr10_119038271,13251.0,0.5641511836883117
234,EIF3A,read,-0.029035725730211247,0.487889923432128,chr10_119038271,13251.0,0.651049179375813
235,EIF3A,coad,-0.021460968058888908,0.6081909868338855,chr10_119038425,13251.0,0.7433445394636378
236,EIF3A,read,-0.02120028142513999,0.6125556992628634,chr10_119038425,13251.0,0.7465397552985599
237,EIF3A,coad,-0.04735499206960519,0.25775389719513797,chr10_119049748,13251.0,0.43385814670404005
238,EIF3A,read,-0.04462060622869,0.2862876655396135,chr10_119049748,13251.0,0.4651007711803197
239,EIF3A,coad,-0.05071201920569931,0.22549555399260307,chr10_119049969,13251.0,0.39928495070552616
240,EIF3A,read,-0.0741757017759846,0.07603964362784348,chr10_119049969,13251.0,0.19009274165681117
241,EIF3A,coad,0.058206797810583466,0.16408664705718082,chr10_119058072,13251.0,0.32225792784981755
242,EIF3A,read,-0.05362731206968228,0.19990625227820713,chr10_119058072,13251.0,0.3691699403385869
243,RGS10,coad,0.10198315201478828,0.014595912900761909,chr10_119515686,13261.0,0.060352684728441276
244,RGS10,read,-0.06480737982098307,0.12124643196972597,chr10_119515686,13261.0,0.26178426122978227
245,TIAL1,coad,0.15308244466924964,0.00023498034398745842,chr10_119575645,13266.0,0.002862139204162213
246,TIAL1,read,0.008828007071050262,0.8329946835556938,chr10_119575645,13266.0,0.8959604002143892
247,TIAL1,coad,0.14253091087962,0.0006219498232340078,chr10_119578703,13266.0,0.005979932374501793
248,TIAL1,read,0.0027126661450693865,0.9483391754132682,chr10_119578703,13266.0,0.9692611488974697
249,TIAL1,coad,0.014316101343169766,0.7323812195751805,chr10_119582087,13266.0,0.8297767383068763
250,TIAL1,read,0.009530829379206084,0.8199180149305126,chr10_119582087,13266.0,0.8873207654767316
251,INPP5F,coad,0.11222208806202419,0.007167939968680179,chr10_119781537,13270.0,0.035810442172954995
252,INPP5F,read,-0.016431373583195717,0.6946945276810231,chr10_119781537,13270.0,0.804164809204702
253,INPP5F,coad,0.04930138075555135,0.23868208729914514,chr10_119805556,13270.0,0.4132802415033412
254,INPP5F,read,0.007584337982237094,0.8562454214715336,chr10_119805556,13270.0,0.9107942283407384
255,INPP5F,coad,0.13777891450962862,0.000944180430410079,chr10_119806525,13270.0,0.00818691913141519
256,INPP5F,read,0.019973817455109975,0.6332730034808335,chr10_119806525,13270.0,0.761149300300071
257,MCMBP,coad,0.06431325590034445,0.12411616923432464,chr10_119842427,13277.0,0.265869873370486
258,MCMBP,read,-0.062405000479500636,0.13569729684531823,chr10_119842427,13277.0,0.2827800572399924
259,MCMBP,coad,-0.009851930352288053,0.8139599773720272,chr10_119842625,13277.0,0.8837634988530877
260,MCMBP,read,0.004017611784441357,0.9235510443278745,chr10_119842625,13277.0,0.9545885995129809
261,MCMBP,coad,0.010307591477871992,0.8055236440370372,chr10_119843115,13277.0,0.8782770121281805
262,MCMBP,read,-0.039824504175564865,0.34130411951857464,chr10_119843115,13277.0,0.5194113872716281
263,MCMBP,coad,-0.003087056402064267,0.9412212726034505,chr10_119858863,13277.0,0.9655093932688523
264,MCMBP,read,-0.015513312204562063,0.7109652548205021,chr10_119858863,13277.0,0.8148165656037187
265,SEC23IP,coad,0.03927205551159399,0.34804873578393714,chr10_119914782,13278.0,0.5259878254919319
266,SEC23IP,read,-0.042945302717222876,0.30478396827931353,chr10_119914782,13278.0,0.48370743655364556
267,SEC23IP,coad,0.002677133031911631,0.9490149531544969,chr10_119915727,13278.0,0.9696501174175579
268,SEC23IP,read,-0.003087559147056561,0.9412117174417843,chr10_119915727,13278.0,0.9655093932688523
269,SEC23IP,coad,0.023542429824570773,0.5738487415291593,chr10_119918599,13278.0,0.7174671383537785
270,SEC23IP,read,-0.019506870576660746,0.6412378343954126,chr10_119918599,13278.0,0.7670906518689152
271,SEC23IP,coad,0.038643938592092725,0.35581907841148486,chr10_119919430,13278.0,0.533103621745281
272,SEC23IP,read,-0.03789145941613753,0.36527034980817996,chr10_119919430,13278.0,0.5420949007344107
273,SEC23IP,coad,0.08329710746340611,0.046258354141275805,chr10_119926185,13278.0,0.13510046023612285
274,SEC23IP,read,-0.0870362119547051,0.0372670408037464,chr10_119926185,13278.0,0.11602567902336479
275,SEC23IP,coad,0.06118787481859378,0.1435078093405597,chr10_119932146,13278.0,0.2936025615826446
276,SEC23IP,read,-0.06464748111215445,0.12216935905821118,chr10_119932146,13278.0,0.26326952723238145
277,SEC23IP,coad,0.11806065321729278,0.004657733144723809,chr10_119932289,13278.0,0.026174759844813305
278,SEC23IP,read,-0.12256946725222821,0.003296161933428956,chr10_119932289,13278.0,0.02034814275446403
279,WDR11,coad,-0.019554873020483393,0.6404171220592076,chr10_120859955,13288.0,0.766557659308974
280,WDR11,read,0.052511664769537204,0.209437066160956,chr10_120859955,13288.0,0.3805415898157464
281,WDR11,coad,0.029433877496576475,0.4819405682054112,chr10_120871366,13288.0,0.6456874623347102
