,tmp_id,gene_names,as-id,cancer-type
865,chr10_119806525,INPP5F,13270,coad
870,chr10_119806525,INPP5F,13270,read
875,chr10_119842427,MCMBP,13277,coad
876,chr10_119842427,MCMBP,13277,read
877,chr10_119842625,MCMBP,13277,coad
878,chr10_119842625,MCMBP,13277,read
879,chr10_119843115,MCMBP,13277,coad
880,chr10_119843115,MCMBP,13277,read
881,chr10_119858863,MCMBP,13277,coad
882,chr10_119858863,MCMBP,13277,read
883,chr10_119914782,SEC23IP,13278,coad
884,chr10_119914782,SEC23IP,13278,read
885,chr10_119915727,SEC23IP,13278,coad
886,chr10_119915727,SEC23IP,13278,read
887,chr10_119918599,SEC23IP,13278,coad
888,chr10_119918599,SEC23IP,13278,read
889,chr10_119919430,SEC23IP,13278,coad
890,chr10_119919430,SEC23IP,13278,read
891,chr10_119926185,SEC23IP,13278,coad
892,chr10_119926185,SEC23IP,13278,read
893,chr10_119932146,SEC23IP,13278,coad
894,chr10_119932146,SEC23IP,13278,read
895,chr10_119932289,SEC23IP,13278,coad
896,chr10_119932289,SEC23IP,13278,read
897,chr10_120859955,WDR11,13288,coad
900,chr10_120859955,WDR11,13288,read
903,chr10_120871366,WDR11,13288,coad
906,chr10_120871366,WDR11,13288,read
909,chr10_120880916,WDR11,13288,coad
912,chr10_120880916,WDR11,13288,read
915,chr10_120886649,WDR11,13288,coad
918,chr10_120886649,WDR11,13288,read
921,chr10_120889239,WDR11,13288,coad
924,chr10_120889239,WDR11,13288,read
927,chr10_120905978,WDR11,13288,coad
930,chr10_120905978,WDR11,13288,read
933,chr10_121483625,FGFR2,13296,coad
939,chr10_121483625,FGFR2,13296,read
944,chr10_121518749,FGFR2,13296,coad
950,chr10_121518749,FGFR2,13296,read
955,chr10_121565719,FGFR2,13296,coad
961,chr10_121565719,FGFR2,13296,read
966,chr10_12172753,NUDT5,10766,coad
971,chr10_12172753,NUDT5,10766,read
976,chr10_12173872,NUDT5,10766,coad
981,chr10_12173872,NUDT5,10766,read
986,chr10_12184869,NUDT5,10766,coad
991,chr10_12184869,NUDT5,10766,read
996,chr10_121790105,ATE1,13319,coad
1003,chr10_121790105,ATE1,13319,read
1010,chr10_121902341,ATE1,13319,coad
1017,chr10_121902341,ATE1,13319,read
1024,chr10_121924413,ATE1,13319,coad
1031,chr10_121924413,ATE1,13319,read
1038,chr10_121961526,NSMCE4A,13328,coad
1043,chr10_121961526,NSMCE4A,13328,read
1048,chr10_122022032,TACC2,13333,coad
1060,chr10_122022032,TACC2,13333,read
1072,chr10_122088476,TACC2,13333,coad
1084,chr10_122088476,TACC2,13333,read
1096,chr10_122211683,TACC2,13333,coad
1108,chr10_122211683,TACC2,13333,read
1120,chr10_122215429,TACC2,13333,coad
1132,chr10_122215429,TACC2,13333,read
1144,chr10_122229407,TACC2,13333,coad
1156,chr10_122229407,TACC2,13333,read
1168,chr10_122237973,TACC2,13333,coad
1180,chr10_122237973,TACC2,13333,read
1192,chr10_122248652,TACC2,13333,coad
1204,chr10_122248652,TACC2,13333,read
1216,chr10_122248827,TACC2,13333,coad
1228,chr10_122248827,TACC2,13333,read
1240,chr10_12230931,CDC123,10771,coad
1241,chr10_12230931,CDC123,10771,read
1242,chr10_12235134,CDC123,10771,coad
1243,chr10_12235134,CDC123,10771,read
1244,chr10_12238560,CDC123,10771,coad
1245,chr10_12238560,CDC123,10771,read
1246,chr10_12246131,CDC123,10771,coad
1247,chr10_12246131,CDC123,10771,read
1248,chr10_12246322,CDC123,10771,coad
1249,chr10_12246322,CDC123,10771,read
1250,chr10_122400403,PLEKHA1,13354,coad
1252,chr10_122400403,PLEKHA1,13354,read
1254,chr10_122415834,PLEKHA1,13354,coad
1256,chr10_122415834,PLEKHA1,13354,read
1258,chr10_122418031,PLEKHA1,13354,coad
1260,chr10_122418031,PLEKHA1,13354,read
1262,chr10_122424880,PLEKHA1,13354,coad
1264,chr10_122424880,PLEKHA1,13354,read
1266,chr10_122427112,PLEKHA1,13354,coad
1268,chr10_122427112,PLEKHA1,13354,read
1270,chr10_122429955,PLEKHA1,13354,coad
1272,chr10_122429955,PLEKHA1,13354,read
1274,chr10_122620189,DMBT1,13358,coad
1285,chr10_122620189,DMBT1,13358,read
1293,chr10_122625920,DMBT1,13358,coad
1304,chr10_122625920,DMBT1,13358,read
1312,chr10_122633279,DMBT1,13358,coad
1323,chr10_122633279,DMBT1,13358,read
1331,chr10_122635979,DMBT1,13358,coad
1342,chr10_122635979,DMBT1,13358,read
1350,chr10_122836359,CUZD1,13374,coad
1352,chr10_122836359,CUZD1,13374,read
1354,chr10_122837458,CUZD1,13374,coad
1356,chr10_122837458,CUZD1,13374,read
1358,chr10_123157712,BUB3,13390,coad
1362,chr10_123157712,BUB3,13390,read
1366,chr10_123164969,BUB3,13390,coad
1370,chr10_123164969,BUB3,13390,read
1374,chr10_124400753,OAT,13399,coad
1375,chr10_124400753,OAT,13399,read
1376,chr10_124411916,OAT,13399,coad
1377,chr10_124411916,OAT,13399,read
1378,chr10_124488398,LHPP,13400,coad
1381,chr10_124488398,LHPP,13400,read
1384,chr10_124498020,LHPP,13400,coad
1387,chr10_124498020,LHPP,13400,read
1390,chr10_125003519,CTBP2,13409,coad
1397,chr10_125003519,CTBP2,13409,read
1404,chr10_125005825,CTBP2,13409,coad
1411,chr10_125005825,CTBP2,13409,read
1418,chr10_125025963,CTBP2,13409,coad
1425,chr10_125025963,CTBP2,13409,read
1432,chr10_125831643,BCCIP,13431,coad
1436,chr10_125831643,BCCIP,13431,read
1440,chr10_125833754,BCCIP,13431,coad
1444,chr10_125833754,BCCIP,13431,read
1448,chr10_125854206,DHX32,13435,coad
1451,chr10_125854206,DHX32,13435,read
1454,chr10_125859593,DHX32,13435,coad
1457,chr10_125859593,DHX32,13435,read
1460,chr10_126017122,ADAM12,13452,coad
1462,chr10_126017122,ADAM12,13452,read
1464,chr10_126017357,ADAM12,13452,coad
1466,chr10_126017357,ADAM12,13452,read
1468,chr10_126019658,ADAM12,13452,coad
1470,chr10_126019658,ADAM12,13452,read
1472,chr10_126093930,ADAM12,13452,coad
1474,chr10_126093930,ADAM12,13452,read
1476,chr10_12666723,CAMK1D,10772,coad
1478,chr10_12666723,CAMK1D,10772,read
1480,chr10_12769831,CAMK1D,10772,coad
1482,chr10_12769831,CAMK1D,10772,read
1484,chr10_128047449,PTPRE,13457,coad
1491,chr10_128047449,PTPRE,13457,read
1498,chr10_128061814,PTPRE,13457,coad
1505,chr10_128061814,PTPRE,13457,read
1512,chr10_128065983,PTPRE,13457,coad
1519,chr10_128065983,PTPRE,13457,read
1526,chr10_128073460,PTPRE,13457,coad
1533,chr10_128073460,PTPRE,13457,read
1540,chr10_128077733,PTPRE,13457,coad
1547,chr10_128077733,PTPRE,13457,read
1554,chr10_128099237,MKI67,13470,coad
1555,chr10_128099237,MKI67,13470,read
1556,chr10_128125554,MKI67,13470,coad
1557,chr10_128125554,MKI67,13470,read
1558,chr10_12998201,CCDC3,10774,coad
1560,chr10_12998201,CCDC3,10774,read
1562,chr10_13001158,CCDC3,10774,coad
1564,chr10_13001158,CCDC3,10774,read
1566,chr10_130160143,GLRX3,13473,coad
1569,chr10_130160143,GLRX3,13473,read
1572,chr10_130166466,GLRX3,13473,coad
1575,chr10_130166466,GLRX3,13473,read
1578,chr10_13110505,OPTN,10776,coad
1585,chr10_13110505,OPTN,10776,read
1591,chr10_13122516,OPTN,10776,coad
1598,chr10_13122516,OPTN,10776,read
1604,chr10_13132108,OPTN,10776,coad
1611,chr10_13132108,OPTN,10776,read
1617,chr10_13132207,OPTN,10776,coad
1624,chr10_13132207,OPTN,10776,read
1630,chr10_132222692,STK32C,13483,coad
1634,chr10_132222692,STK32C,13483,read
1638,chr10_132337590,LRRC27,13493,coad
1641,chr10_132337590,LRRC27,13493,read
1644,chr10_132344477,LRRC27,13493,coad
1647,chr10_132344477,LRRC27,13493,read
1650,chr10_132365592,LRRC27,13493,coad
1653,chr10_132365592,LRRC27,13493,read
1656,chr10_132404607,PWWP2B,13500,coad
1657,chr10_132404607,PWWP2B,13500,read
1658,chr10_132405917,PWWP2B,13500,coad
1659,chr10_132405917,PWWP2B,13500,read
1660,chr10_132645874,INPP5A,13502,coad
1662,chr10_132645874,INPP5A,13502,read
1664,chr10_13288398,PHYH,10789,coad
1668,chr10_13288398,PHYH,10789,read
1672,chr10_13291804,PHYH,10789,coad
1676,chr10_13291804,PHYH,10789,read
1680,chr10_13291923,PHYH,10789,coad
1684,chr10_13291923,PHYH,10789,read
1688,chr10_13323053,SEPHS1,10793,coad
1691,chr10_13323053,SEPHS1,10793,read
1694,chr10_13333771,SEPHS1,10793,coad
1697,chr10_13333771,SEPHS1,10793,read
1700,chr10_13439504,BEND7,10799,coad
1702,chr10_13439504,BEND7,10799,read
1704,chr10_13670593,FRMD4A,10810,coad
1708,chr10_13670593,FRMD4A,10810,read
1712,chr10_13740465,FRMD4A,10810,coad
1716,chr10_13740465,FRMD4A,10810,read
1720,chr10_14530300,FAM107B,10824,coad
1721,chr10_14530300,FAM107B,10824,read
1722,chr10_14848953,HSPA14,10830,coad
1724,chr10_14848953,HSPA14,10830,read
1726,chr10_14854358,HSPA14,10830,coad
1728,chr10_14854358,HSPA14,10830,read
1730,chr10_14855818,HSPA14,10830,coad
1732,chr10_14855818,HSPA14,10830,read
1734,chr10_16593351,RSU1,10878,coad
1737,chr10_16593351,RSU1,10878,read
1740,chr10_16782087,RSU1,10878,coad
1743,chr10_16782087,RSU1,10878,read
1746,chr10_17159089,TRDMT1,10883,coad
1748,chr10_17159089,TRDMT1,10883,read
1750,chr10_17159234,TRDMT1,10883,coad
1752,chr10_17159234,TRDMT1,10883,read
1754,chr10_17160377,TRDMT1,10883,coad
1756,chr10_17160377,TRDMT1,10883,read
1758,chr10_17162248,TRDMT1,10883,coad
1760,chr10_17162248,TRDMT1,10883,read
1762,chr10_17174573,TRDMT1,10883,coad
1764,chr10_17174573,TRDMT1,10883,read
1766,chr10_17230670,VIM,10929,coad
1768,chr10_17230670,VIM,10929,read
1770,chr10_17237213,VIM,10929,coad
1772,chr10_17237213,VIM,10929,read
1774,chr10_17704921,STAM,10936,coad
1775,chr10_17704921,STAM,10936,read
1776,chr10_17705110,STAM,10936,coad
1777,chr10_17705110,STAM,10936,read
1778,chr10_17714617,STAM,10936,coad
1779,chr10_17714617,STAM,10936,read
1780,chr10_20787321,NEBL,10959,coad
1786,chr10_20787321,NEBL,10959,read
1792,chr10_20812736,NEBL,10959,coad
1798,chr10_20812736,NEBL,10959,read
1804,chr10_20812862,NEBL,10959,coad
1810,chr10_20812862,NEBL,10959,read
1816,chr10_20819453,NEBL,10959,coad
1822,chr10_20819453,NEBL,10959,read
1828,chr10_20868835,NEBL,10959,coad
1834,chr10_20868835,NEBL,10959,read
1840,chr10_20869867,NEBL,10959,coad
1846,chr10_20869867,NEBL,10959,read
1852,chr10_21172482,NEBL,10959,coad
1858,chr10_21172482,NEBL,10959,read
1864,chr10_21614771,MLLT10,10970,coad
1867,chr10_21614771,MLLT10,10970,read
1870,chr10_21617091,MLLT10,10970,coad
1873,chr10_21617091,MLLT10,10970,read
1876,chr10_21617257,MLLT10,10970,coad
1879,chr10_21617257,MLLT10,10970,read
1882,chr10_21626115,MLLT10,10970,coad
1885,chr10_21626115,MLLT10,10970,read
1888,chr10_21759298,DNAJC1,10975,coad
1891,chr10_21759298,DNAJC1,10975,read
1894,chr10_21805945,DNAJC1,10975,coad
1897,chr10_21805945,DNAJC1,10975,read
1900,chr10_21882154,DNAJC1,10975,coad
1903,chr10_21882154,DNAJC1,10975,read
1906,chr10_21928656,DNAJC1,10975,coad
1909,chr10_21928656,DNAJC1,10975,read
1912,chr10_21929012,DNAJC1,10975,coad
1915,chr10_21929012,DNAJC1,10975,read
1918,chr10_22540139,PIP4K2A,10983,coad
1920,chr10_22540139,PIP4K2A,10983,read
1922,chr10_22608054,PIP4K2A,10983,coad
1924,chr10_22608054,PIP4K2A,10983,read
1926,chr10_236812,ZMYND11,10579,coad
1938,chr10_236812,ZMYND11,10579,read
1950,chr10_24494498,KIAA1217,10992,coad
1962,chr10_24494498,KIAA1217,10992,read
1975,chr10_24533196,KIAA1217,10992,coad
1987,chr10_24533196,KIAA1217,10992,read
2000,chr10_24601863,ARHGAP21,11012,coad
2001,chr10_24601863,ARHGAP21,11012,read
2002,chr10_24667022,ARHGAP21,11012,coad
2003,chr10_24667022,ARHGAP21,11012,read
2004,chr10_24670183,ARHGAP21,11012,coad
2005,chr10_24670183,ARHGAP21,11012,read
2006,chr10_24855278,PRTFDC1,11016,coad
2009,chr10_24855278,PRTFDC1,11016,read
2012,chr10_26501101,APBB1IP,11030,coad
2014,chr10_26501101,APBB1IP,11030,read
2016,chr10_26513705,APBB1IP,11030,coad
2018,chr10_26513705,APBB1IP,11030,read
2020,chr10_26536039,APBB1IP,11030,coad
2022,chr10_26536039,APBB1IP,11030,read
2024,chr10_26536223,APBB1IP,11030,coad
2026,chr10_26536223,APBB1IP,11030,read
2028,chr10_26751695,ABI1,11032,coad
2046,chr10_26751695,ABI1,11032,read
2064,chr10_27114684,YME1L1,11057,coad
2070,chr10_27114684,YME1L1,11057,read
2076,chr10_27116135,YME1L1,11057,coad
2082,chr10_27116135,YME1L1,11057,read
2088,chr10_27142351,YME1L1,11057,coad
2094,chr10_27142351,YME1L1,11057,read
2100,chr10_27149073,YME1L1,11057,coad
2106,chr10_27149073,YME1L1,11057,read
2112,chr10_27165243,MASTL,11063,coad
2114,chr10_27165243,MASTL,11063,read
2116,chr10_27197276,ACBD5,11068,coad
2120,chr10_27197276,ACBD5,11068,read
2124,chr10_27197510,ACBD5,11068,coad
2128,chr10_27197510,ACBD5,11068,read
2132,chr10_27240446,ACBD5,11068,coad
2136,chr10_27240446,ACBD5,11068,read
2140,chr10_283243,DIP2C,10596,coad
2142,chr10_283243,DIP2C,10596,read
2144,chr10_345037,DIP2C,10596,coad
2146,chr10_345037,DIP2C,10596,read
2148,chr10_366334,DIP2C,10596,coad
2150,chr10_366334,DIP2C,10596,read
2152,chr10_28590703,WAC,11097,coad
2159,chr10_28590703,WAC,11097,read
2166,chr10_28611723,WAC,11097,coad
2173,chr10_28611723,WAC,11097,read
2180,chr10_28619524,WAC,11097,coad
2187,chr10_28619524,WAC,11097,read
2194,chr10_29458176,SVIL,11111,coad
2197,chr10_29458176,SVIL,11111,read
2200,chr10_29524432,SVIL,11111,coad
2203,chr10_29524432,SVIL,11111,read
2206,chr10_29533073,SVIL,11111,coad
2209,chr10_29533073,SVIL,11111,read
2212,chr10_30316241,MTPAP,11118,coad
2214,chr10_30316241,MTPAP,11118,read
2216,chr10_30322582,MTPAP,11118,coad
2218,chr10_30322582,MTPAP,11118,read
2220,chr10_30341668,MTPAP,11118,coad
2222,chr10_30341668,MTPAP,11118,read
2224,chr10_30365002,MTPAP,11118,coad
2226,chr10_30365002,MTPAP,11118,read
2228,chr10_30370958,MTPAP,11118,coad
2230,chr10_30370958,MTPAP,11118,read
2232,chr10_30439433,MAP3K8,11120,coad
2237,chr10_30439433,MAP3K8,11120,read
2242,chr10_30460758,MAP3K8,11120,coad
2247,chr10_30460758,MAP3K8,11120,read
2252,chr10_30848745,ZNF438,11130,coad
2255,chr10_30848745,ZNF438,11130,read
2258,chr10_30848816,ZNF438,11130,coad
2261,chr10_30848816,ZNF438,11130,read
2264,chr10_30857743,ZNF438,11130,coad
2267,chr10_30857743,ZNF438,11130,read
2270,chr10_3101465,PFKP,10619,coad
2274,chr10_3101465,PFKP,10619,read
2278,chr10_3107310,PFKP,10619,coad
2282,chr10_3107310,PFKP,10619,read
2286,chr10_3112323,PFKP,10619,coad
2290,chr10_3112323,PFKP,10619,read
2294,chr10_3125161,PFKP,10619,coad
2298,chr10_3125161,PFKP,10619,read
2302,chr10_3132444,PFKP,10619,coad
2306,chr10_3132444,PFKP,10619,read
2310,chr10_3147273,PITRM1,10625,coad
2314,chr10_3147273,PITRM1,10625,read
2318,chr10_3147895,PITRM1,10625,coad
2322,chr10_3147895,PITRM1,10625,read
2326,chr10_3148042,PITRM1,10625,coad
2330,chr10_3148042,PITRM1,10625,read
2334,chr10_3159051,PITRM1,10625,coad
2338,chr10_3159051,PITRM1,10625,read
2342,chr10_3163897,PITRM1,10625,coad
2346,chr10_3163897,PITRM1,10625,read
2350,chr10_31807870,ARHGAP12,11152,coad
2353,chr10_31807870,ARHGAP12,11152,read
2356,chr10_31809328,ARHGAP12,11152,coad
2359,chr10_31809328,ARHGAP12,11152,read
2362,chr10_31810620,ARHGAP12,11152,coad
2365,chr10_31810620,ARHGAP12,11152,read
2368,chr10_31810704,ARHGAP12,11152,coad
2371,chr10_31810704,ARHGAP12,11152,read
